SeriesDescription,GeoAreaName,Education level,Nature,Sex,Units,TimePeriod,Value,Cluster
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2008,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,E,MALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,E,MALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,E,BOTHSEX,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,E,BOTHSEX,PERCENT,2008,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2009,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2009,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2010,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2010,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2011,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2011,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2012,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2012,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2013,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2013,99.95195,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2013,99.95195,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2013,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2014,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2014,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2015,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2015,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2016,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2016,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2017,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2017,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2018,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2018,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2019,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2019,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,FEMALE,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,BOTHSEX,PERCENT,2020,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PREPRI,C,MALE,PERCENT,2020,0.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,BOTHSEX,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,BOTHSEX,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,FEMALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,MALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,FEMALE,PERCENT,2021,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,MALE,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,SECOND,C,FEMALE,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,PRIMAR,C,FEMALE,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,MALE,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,MALE,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,UPPSEC,C,BOTHSEX,PERCENT,2022,100.0,1
"Proportion of teachers with the minimum required qualifications, by education level and sex (%)",State of Palestine,LOWSEC,C,BOTHSEX,PERCENT,2022,100.0,1
